Year,Month,Visitors,Month_Num,Date
2025,JAN,135684,1,2025-01-01
2024,JAN,127789,1,2024-01-01
2023,JAN,107256,1,2023-01-01
2022,JAN,137057,1,2022-01-01
2021,JAN,67284,1,2021-01-01
2020,JAN,132742,1,2020-01-01
2019,JAN,116746,1,2019-01-01
2018,JAN,129432,1,2018-01-01
2017,JAN,120025,1,2017-01-01
2016,JAN,139780,1,2016-01-01
2015,JAN,128318,1,2015-01-01
2014,JAN,112133,1,2014-01-01
2013,JAN,103910,1,2013-01-01
2012,JAN,120496,1,2012-01-01
2011,JAN,100718,1,2011-01-01
2010,JAN,96089,1,2010-01-01
2009,JAN,101984,1,2009-01-01
2008,JAN,95124,1,2008-01-01
2007,JAN,99892,1,2007-01-01
2006,JAN,104591,1,2006-01-01
2005,JAN,91238,1,2005-01-01
2004,JAN,100020,1,2004-01-01
2003,JAN,116984,1,2003-01-01
2002,JAN,108906,1,2002-01-01
2001,JAN,102455,1,2001-01-01
2000,JAN,93633,1,2000-01-01
1999,JAN,100857,1,1999-01-01
1998,JAN,114143,1,1998-01-01
1997,JAN,12520,1,1997-01-01
1996,JAN,104086,1,1996-01-01
1995,JAN,123844,1,1995-01-01
1994,JAN,131216,1,1994-01-01
1993,JAN,101503,1,1993-01-01
1992,JAN,126603,1,1992-01-01
1991,JAN,104673,1,1991-01-01
1990,JAN,99686,1,1990-01-01
1989,JAN,102646,1,1989-01-01
1988,JAN,94583,1,1988-01-01
1987,JAN,94639,1,1987-01-01
1986,JAN,92835,1,1986-01-01
1985,JAN,84266,1,1985-01-01
1984,JAN,75894,1,1984-01-01
1983,JAN,64748,1,1983-01-01
1982,JAN,60817,1,1982-01-01
1981,JAN,60669,1,1981-01-01
1980,JAN,66677,1,1980-01-01
1979,JAN,72701,1,1979-01-01
2025,FEB,120601,2,2025-02-01
2024,FEB,121027,2,2024-02-01
2023,FEB,107012,2,2023-02-01
2022,FEB,170196,2,2022-02-01
2021,FEB,128222,2,2021-02-01
2020,FEB,167778,2,2020-02-01
2019,FEB,111665,2,2019-02-01
2018,FEB,143321,2,2018-02-01
2017,FEB,119421,2,2017-02-01
2016,FEB,201601,2,2016-02-01
2015,FEB,135316,2,2015-02-01
2014,FEB,113403,2,2014-02-01
2013,FEB,114440,2,2013-02-01
2012,FEB,113341,2,2012-02-01
2011,FEB,93588,2,2011-02-01
2010,FEB,100379,2,2010-02-01
2009,FEB,78795,2,2009-02-01
2008,FEB,107729,2,2008-02-01
2007,FEB,100941,2,2007-02-01
2006,FEB,101194,2,2006-02-01
2005,FEB,103756,2,2005-02-01
